LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
80000.0,2.0,3.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,36106.6,34783.203,25869.482,27389.986,26456.867,21867.93,2000.964,3001.222,3067.1536,3000.0,3000.0,3458.182,0.0
100000.0,2.0,1.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,51594.137,44848.207,32184.604,11037.366,11317.724,10208.974,2980.8262,4095.0752,1000.0,2500.0,1200.0,636.5593,1.0
180000.0,1.0,1.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,64307.047,61661.01,64705.844,60888.63,58186.125,61464.133,3006.022,4372.8687,5000.0,2081.7922,5661.818,4091.7468,0.0
20000.0,1.0,2.0,2.0,34.0,0.0,0.0,0.0,0.0,2.0,0.0,6072.974,5825.7603,5723.1763,7365.8433,6407.195,7744.644,1900.4675,3851.7585,2206.8616,0.0,1503.4937,2650.5022,0.0
340000.0,2.0,1.0,2.0,35.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240000.0,2.0,1.0,1.0,27.0,1.0,-2.0,-1.0,-1.0,-2.0,-2.0,0.0,0.0,1142.4122,0.0,0.0,0.0,0.0,1514.4563,0.0,0.0,0.0,0.0,1.0
50000.0,1.0,2.0,2.0,31.0,0.0,2.0,2.0,2.0,2.0,0.0,44566.957,42641.56,41581.797,45326.293,39457.87,37472.27,3500.0,0.0,5000.0,0.0,4245.7593,4000.0,0.0
150000.0,1.0,2.0,1.0,31.0,0.0,0.0,2.0,0.0,0.0,0.0,133755.86,142546.86,115999.586,133213.28,126990.38,122252.46,10000.0,0.0,5000.84,4000.9133,3485.351,4000.0,1.0
110000.0,1.0,2.0,2.0,27.0,0.0,0.0,2.0,2.0,2.0,-1.0,40646.363,39400.766,30904.186,19423.48,7810.8135,2507.1255,4524.499,0.0,2249.3662,0.0,5000.0,3000.0,0.0
450000.0,1.0,2.0,2.0,29.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,52817.03,64370.418,3145.6711,1441.9358,0.0,921.6962,8026.1045,0.0,1718.0946,0.0,2000.0,22263.572,0.0
110000.0,1.0,2.0,1.0,44.0,0.0,0.0,0.0,2.0,2.0,2.0,36549.66,42903.83,29990.78,44491.61,31693.46,45676.113,2812.024,3635.9985,6295.814,0.0,20000.0,5000.0,0.0
140000.0,2.0,2.0,1.0,45.0,1.0,2.0,0.0,0.0,0.0,0.0,73773.11,66516.19,66444.81,73805.32,70125.32,58945.363,0.0,6000.0,5000.0,2200.5715,8448.621,6894.9614,0.0
190000.0,2.0,1.0,1.0,37.0,0.0,2.0,2.0,0.0,0.0,0.0,120890.555,88119.54,75364.72,64775.684,44297.793,42473.258,8361.553,0.0,4920.3213,3202.239,5727.2896,5710.033,0.0
20000.0,1.0,2.0,1.0,25.0,2.0,-1.0,-1.0,-2.0,-2.0,-2.0,7589.1855,494.32312,0.0,0.0,0.0,0.0,694.3375,0.0,0.0,0.0,0.0,0.0,1.0
50000.0,2.0,2.0,2.0,23.0,0.0,0.0,0.0,2.0,2.0,2.0,20842.35,20732.766,22012.65,23807.113,27693.043,25951.977,2010.9496,5549.775,0.0,3905.2742,0.0,3500.0,0.0
10000.0,1.0,1.0,2.0,29.0,0.0,2.0,2.0,-1.0,0.0,0.0,3501.5212,2502.276,1839.6005,3154.5867,4153.3125,2951.0706,0.0,3000.0,3000.0,1024.6565,1936.8798,3000.0,0.0
140000.0,2.0,3.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,117498.07,79061.945,43498.387,8894.878,390.0,0.0,3000.0,5000.0,3698.9326,529.2161,0.0,1825.91,0.0
