LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
280000.0,2,1,1,30.0,-1,-1,-1,-1,-1,-1,5082.7573,2533.4712,6468.7227,1609.078,2435.5332,1428.3212,3275.3264,4799.755,1701.2823,2502.6648,1009.2703,892.0873,1
200000.0,1,1,1,39.0,0,0,0,2,0,0,93762.625,106191.766,119195.85,111232.8,98641.664,103832.945,5799.472,19947.549,0.0,5030.3086,5473.0093,4000.0,1
50000.0,1,1,2,26.0,2,2,2,0,0,2,47554.996,55837.99,46525.98,26650.643,15374.2705,6135.053,2000.0,1635.2053,780.0,1100.0,0.0,1110.4183,1
50000.0,1,1,2,35.0,2,2,2,0,0,0,43600.543,63989.184,55970.273,49201.965,59477.14,56556.324,13279.33,0.0,2000.0,3381.9016,4731.0513,11339.156,1
80000.0,2,2,1,31.0,2,0,0,2,0,0,56408.64,50874.883,59523.125,63623.62,58454.375,67648.45,4000.0,4304.343,0.0,3010.179,2741.1094,2310.364,1
80000.0,2,3,1,44.0,2,2,2,2,2,2,55260.223,63606.934,56518.652,61507.527,64467.65,61783.633,3227.8535,2974.322,1639.4331,2738.0627,1500.8307,2500.2046,1
500000.0,1,1,2,35.0,0,0,0,0,0,0,314858.53,287949.06,303146.97,219008.39,191653.55,209723.55,9408.852,9686.342,5788.0547,4880.2354,7000.0,6985.69,1
50000.0,1,3,2,24.0,0,0,2,0,0,-2,19392.195,19874.848,18644.543,14950.927,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,1
50000.0,2,2,1,33.0,2,0,0,2,0,0,29547.273,29302.55,38517.984,33116.67,30322.936,29384.2,2000.0,3922.3503,0.0,1070.0928,1000.0,1000.0,1
20000.0,1,2,2,24.0,1,2,2,2,0,0,16438.025,18078.166,16609.967,16429.023,8254.657,9740.128,0.0,3000.0,0.0,0.0,1529.9664,1000.0,1
50000.0,2,3,1,50.0,0,0,0,0,0,0,50057.35,47043.41,49785.74,51643.258,47752.484,41299.027,2846.2063,2297.7322,2000.0,1669.8319,1500.0,1542.0242,1
30000.0,1,2,2,24.0,0,0,0,0,0,2,11532.348,10191.555,12451.16,11033.324,15112.849,7411.511,1500.0,1165.7748,700.0,3226.552,0.0,0.0,1
30000.0,1,3,2,36.0,0,0,0,0,0,0,27548.264,21365.395,22265.363,27012.672,26103.59,29747.947,0.0,2000.0,2000.0,0.0,2503.4568,0.0,1
60000.0,1,2,2,27.0,0,0,0,0,0,-1,64057.637,82275.11,73246.41,11188.519,3154.3938,9398.909,4355.266,3000.0,650.8595,1177.3815,6657.568,3840.3308,1
240000.0,1,2,2,27.0,1,2,-1,-1,0,0,50239.81,26423.53,18144.203,70514.1,64378.336,80009.99,0.0,2000.0,17101.996,3500.0,3277.0376,2054.3542,1
140000.0,2,2,2,35.0,2,0,0,0,0,0,143529.88,145337.4,118460.17,114252.59,117679.53,104976.13,6000.051,7640.491,5521.531,4997.4175,3000.0,3511.767,1
30000.0,1,2,1,42.0,1,3,2,0,0,2,17816.39,15395.967,12492.036,9417.06,12823.048,8543.643,0.0,0.0,0.0,1665.9885,0.0,0.0,1
310000.0,1,1,1,46.0,0,0,0,0,0,2,105460.625,60776.133,61126.24,42813.08,19090.69,12694.461,2454.9255,3405.0586,50154.35,800.93866,0.0,1000.0,1
310000.0,2,1,2,26.0,4,3,2,0,0,0,312674.16,277423.03,257232.97,309352.1,266727.9,259767.4,4622.1177,0.0,8039.7563,11807.799,19343.885,11722.509,1
20000.0,1,2,2,24.0,0,-1,-1,-1,-1,-1,47698.457,8761.969,0.0,7310.0195,0.0,316.0,18202.137,1211.8007,11098.305,414.551,500.0,500.0,1
30000.0,2,1,1,26.0,2,2,2,2,2,2,29974.953,32318.191,30648.543,36141.117,36800.23,38437.105,2130.8262,1500.0,1582.2422,2000.0,1497.3685,1488.2977,1
200000.0,2,1,2,25.0,1,2,2,-1,0,0,86226.914,94001.9,3775.34,228991.27,207088.58,226299.25,8477.13,0.0,151518.0,5254.621,7578.014,6176.37,1
30000.0,2,2,1,42.0,2,0,0,0,0,0,37591.27,37786.848,35102.203,35949.6,26358.873,28779.492,1701.0029,1500.0,1299.3766,986.52454,1200.0,1181.0963,1
110000.0,2,2,2,38.0,-1,2,-2,-1,0,2,1197.2911,0.0,0.0,1097.749,1086.0575,0.0,0.0,0.0,1632.8309,0.0,0.0,0.0,1
20000.0,1,2,2,29.0,0,0,0,0,0,3,14721.091,16858.32,19651.793,19231.135,19512.887,10113.279,2100.0,2000.0,1215.4865,0.0,0.0,0.0,1
290000.0,2,2,1,29.0,1,2,0,0,-1,0,7149.306,4466.6343,11039.287,15357.369,29285.686,43836.13,0.0,2897.5317,3608.5674,20000.0,10650.454,2368.4692,1
60000.0,2,1,2,35.0,0,0,2,2,2,2,19884.334,23774.713,21766.014,19440.945,20443.564,20038.562,4000.0,0.0,1500.7473,1300.0,1900.0,753.9652,1
160000.0,2,2,2,25.0,2,2,0,0,2,3,196487.25,195421.83,194185.16,156964.39,172405.16,193153.67,0.0,6913.267,6781.6035,7945.6064,2000.0,0.0,1
50000.0,2,2,1,26.0,2,2,2,2,2,2,28415.791,29864.162,28957.852,29689.96,30988.102,28953.055,741.36285,3000.0,0.0,5327.4814,1000.0,0.0,1
120000.0,1,1,2,37.0,2,2,0,0,0,0,2921.5374,2377.204,5318.8945,4206.2954,8874.942,9685.485,0.0,3918.1606,0.0,2000.0,3134.1296,0.0,1
60000.0,2,3,1,45.0,1,2,2,0,0,0,23382.473,27884.41,26211.322,29053.34,28871.371,29740.994,1700.0,0.0,2022.8082,1650.5588,2500.0,1805.0526,1
20000.0,1,2,1,45.0,0,0,0,0,0,0,14596.7,11078.858,7451.906,13186.13,14018.341,289.88373,3142.7544,1350.5753,3348.915,7000.0,0.0,0.0,1
70000.0,1,3,1,39.0,0,0,0,0,0,0,60899.02,63314.395,45624.17,45630.266,39530.504,55439.387,4062.885,2700.6401,1800.0,2000.0,7692.619,2412.4521,1
