LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
150000.0,1,3,1,45.0,-1,-1,-1,-1,-1,-1,0.0,0.0,584.7634,0.0,1064.4298,831.48846,0.0,1000.0,0.0,1000.0,1021.8923,2451.047,0
200000.0,1,2,2,34.0,1,-2,-2,-2,-1,0,0.0,0.0,0.0,0.0,1177.533,0.0,0.0,0.0,0.0,2000.0,0.0,3000.0,0
450000.0,2,2,1,29.0,-1,-1,-1,-1,-1,-1,11946.145,5274.7944,1175.4247,825.9113,745.9261,867.9665,3407.5447,1000.0,605.7723,916.76685,1000.0,1000.0,0
50000.0,2,3,1,36.0,0,0,0,0,0,0,46814.17,33115.406,28542.879,20286.754,22562.887,21888.383,1710.8701,1200.0,1163.9357,1000.0,1000.0,891.04456,0
80000.0,2,1,2,27.0,0,-1,2,0,0,0,84550.06,92959.234,78337.23,65662.65,43289.344,44859.1,39629.723,3430.856,4000.0,6885.6978,0.0,6000.0,1
180000.0,2,2,2,29.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120000.0,1,3,1,42.0,0,0,0,0,0,0,133941.83,116564.11,68434.016,80527.93,96146.71,91800.15,5023.552,1636.1064,3201.12,4434.1753,3705.459,2452.8376,0
210000.0,2,2,1,36.0,-2,-2,-2,-2,-2,-2,116.5162,3118.513,780.0,18591.846,184.90486,670.9185,1800.0,492.45837,20573.809,999.7293,772.85706,0.0,0
20000.0,1,2,1,32.0,0,0,0,0,0,0,14442.398,15685.766,18486.43,16169.589,18744.307,15140.397,1274.8295,1310.2173,694.23395,1000.0,1000.0,0.0,1
150000.0,1,3,1,42.0,-2,-1,-1,-1,0,0,391.20782,564.1975,733.49243,400.7052,828.4572,241.63287,427.1565,791.9372,390.0,762.62775,0.0,0.0,0
270000.0,2,1,2,30.0,-1,-1,-1,-1,0,-1,34100.02,545.2561,0.0,1085.2671,671.9089,2097.615,592.4767,0.0,1426.6044,0.0,2164.9412,10164.004,0
50000.0,1,3,1,36.0,2,2,2,0,0,0,47664.605,43603.734,45251.66,39081.85,29813.451,33947.7,2000.0,0.0,2182.8567,1105.2778,1200.0,1449.2539,1
220000.0,2,2,1,37.0,-1,-1,-1,-1,0,0,1116.8486,991.8026,699.55273,1025.2943,12119.593,11280.147,998.0479,266.27875,1132.4846,10000.0,390.0,186.00098,0
50000.0,2,3,2,51.0,2,2,3,2,2,2,25694.361,19324.045,20002.334,22361.754,19511.857,19017.084,0.0,1200.5621,0.0,2000.0,0.0,2000.0,1
20000.0,1,3,2,32.0,0,0,0,-2,-2,-2,8648.497,9315.977,0.0,0.0,0.0,0.0,2798.9255,0.0,0.0,0.0,0.0,0.0,0
309417.66,2,2,2,27.0,-2,-2,-2,-2,-2,-2,4425.2275,19612.273,7561.8706,5360.4043,9845.291,10615.554,15024.68,5031.429,4057.5122,9982.961,8681.383,5265.3457,0
420000.0,2,2,2,31.0,0,0,0,0,0,0,67285.9,72147.6,46733.445,27136.004,74266.73,52056.473,2500.0,2183.1523,3795.924,30101.072,5010.142,65480.52,0
70000.0,1,3,1,76.36166,0,0,2,2,2,-1,50696.227,60082.31,45887.9,49699.14,0.0,7742.1294,3583.5103,1924.8385,1102.2114,0.0,7840.8696,0.0,0
250000.0,1,2,2,31.0,0,0,0,0,0,0,193698.66,204617.22,203504.25,190971.94,50046.22,19812.924,6000.0,6249.788,4000.0,1700.0,1896.1366,1506.4017,0
20000.0,2,1,2,23.0,0,0,-1,0,0,-1,7124.856,4625.537,9306.095,8302.5,7905.2627,390.0,2135.2915,8246.682,401.5908,1500.0,387.00125,834.86194,0
140000.0,1,1,2,35.0,0,0,2,0,0,0,53456.28,50893.945,51678.695,55064.406,31993.68,71586.016,5023.7856,0.0,2000.0,4754.7847,49604.832,2000.0,1
150000.0,1,2,2,36.0,0,0,0,0,0,2,172527.98,163501.64,187128.95,83602.3,76857.33,1084.6493,5475.0786,5000.0,2782.0251,5176.587,0.0,0.0,0
50000.0,2,3,2,29.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70000.0,1,3,1,46.0,0,0,0,0,0,0,58953.668,45957.992,45490.645,29769.846,28104.006,71292.15,3000.0,2500.0,2000.0,2000.0,12387.092,2000.0,0
210000.0,2,2,2,36.0,0,0,0,0,0,0,181764.3,203580.33,196587.97,200593.78,216549.62,216684.81,11026.595,9747.819,11001.713,9432.856,10000.0,16862.82,0
100000.0,1,1,2,44.0,0,0,0,0,0,0,81179.945,79095.3,67241.88,75702.63,75221.086,65704.68,2836.5305,3000.0,2082.9214,2785.42,3000.0,3000.0,0
100000.0,1,2,2,29.0,0,0,0,0,2,0,79788.6,88872.125,54223.895,20812.021,393.0201,29301.95,3897.2258,2198.3022,3599.7424,0.0,40281.52,3000.0,0
360000.0,2,2,1,30.0,3,2,2,-2,-2,-2,3921.5315,3026.0781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
382560.44,1,2,1,53.0,-1,-1,-1,0,0,0,59596.332,153699.14,25021.715,97889.164,24894.09,29903.482,101318.65,15232.983,65196.51,9834.137,14933.754,81886.586,0
50000.0,2,2,1,32.0,0,0,0,0,0,0,46382.902,42764.43,46132.2,37966.19,44724.39,48128.71,1809.1179,2000.0,1478.2539,1500.0,2000.0,1500.0,0
320000.0,1,1,2,28.0,0,0,0,0,-2,-2,32731.324,35483.508,117665.516,27956.791,5727.7227,3619.3313,10003.163,124673.22,11689.679,5000.0,2515.5515,4506.982,0
210000.0,2,1,2,38.0,0,0,0,0,-2,-2,26295.904,28849.475,18461.904,-16.90897,-22.547602,2553.617,1600.0282,2500.0,0.0,0.0,8262.044,0.0,0
50000.0,1,2,2,23.0,-2,-2,-2,-1,-1,-2,25509.982,0.0,0.0,1614.6304,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0
20000.0,2,1,2,22.0,1,2,0,0,0,0,14440.239,11229.195,14087.797,12059.979,11876.846,8303.458,0.0,5956.2163,2000.0,4493.415,3344.7192,3000.0,0
50000.0,2,2,2,26.0,-1,2,-2,-2,-1,2,3465.1526,576.14233,0.0,0.0,2602.9956,1659.8494,0.0,0.0,0.0,3653.1614,0.0,398.68347,0
130000.0,1,1,2,27.0,0,0,0,0,0,-2,38739.117,28658.88,28849.807,10273.605,0.0,0.0,2000.0,4093.639,1754.8678,0.0,0.0,0.0,0
360000.0,2,1,2,31.0,-1,-1,-1,-1,-1,-1,18955.1,21261.521,23901.047,50600.207,2059.668,4150.956,24450.021,19668.666,49527.133,2183.046,3010.9658,169.37138,0
20000.0,1,2,2,24.0,0,0,0,0,0,0,19918.734,26049.018,18863.16,19866.793,18975.05,19229.705,1205.4352,1365.367,1000.0,549.26733,1000.0,199.1848,0
360000.0,2,2,1,31.97499,-2,-2,-2,-2,-2,-2,997.2986,888.80054,418.07224,1549.3401,0.0,3973.59,707.6287,317.70212,2000.0,0.0,4000.0,0.0,0
270000.0,1,5,2,32.17056,1,2,2,0,0,2,239987.39,247431.77,239041.75,259573.25,223390.08,220152.69,6012.7983,5002.9023,8379.27,21544.643,3643.1223,18000.385,0
360000.0,2,1,2,28.0,-1,-1,-2,-2,-1,0,512.61597,0.0,0.0,0.0,19466.729,1201.7528,0.0,0.0,0.0,16637.666,0.0,4286.2847,0
270000.0,2,1,1,41.0,1,3,-1,0,0,-1,0.0,0.0,782.73254,54.851906,0.0,660.77924,0.0,0.77779,0.0,0.0,871.96954,666.2853,1
210000.0,1,1,1,33.0,0,0,0,0,0,0,181591.12,194102.39,187094.28,207806.88,162762.33,100200.26,10000.0,11428.866,15551.784,5000.0,5000.0,7239.8926,0
120000.0,1,1,2,29.0,-2,-2,-2,-2,-2,-2,1981.4492,4127.4336,1637.8197,2266.8716,3866.7537,2127.286,2007.083,1400.0,1402.5093,2200.2341,2746.5784,3598.0818,0
290000.0,1,2,1,43.0,-1,-1,-1,0,0,-1,350.10675,1479.9365,8470.011,9863.952,489.9757,934.21045,3000.0,6381.597,5051.489,0.0,866.88715,7000.0,0
50000.0,2,2,1,39.0,0,0,0,0,0,0,32028.812,22516.404,20767.426,19605.848,37555.902,35788.777,2571.371,6252.5933,2500.0,18901.533,3026.3777,2377.9312,0
140000.0,2,1,2,24.0,0,0,0,0,0,0,134566.0,143483.45,121384.41,106018.65,97646.73,97299.484,5500.0,5076.7075,3000.0,3809.4731,4183.861,4000.8723,0
30000.0,1,2,1,28.0,1,2,0,0,0,0,8408.988,9516.564,9673.491,9866.92,10265.607,0.0,0.0,3290.6396,3000.0,2511.0437,0.0,0.0,1
230000.0,2,1,2,28.0,-2,-2,-1,0,0,2,291.6504,442.4898,24474.006,15289.79,25092.676,14873.219,0.0,26761.1,1000.0,12687.448,2000.0,3000.0,1
70000.0,2,2,2,23.0,0,0,0,0,0,0,53749.562,58120.64,49625.434,48049.52,45996.105,45792.11,3000.0,2696.3127,2695.933,2000.0,2160.9814,2000.0,0
