LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
60000.0,2,2,2,35.0,0,0,0,0,0,0,36111.695,15364.001,15354.044,17717.277,17476.61,19420.562,1499.4805,1286.8456,1200.0,728.19086,1801.9691,0.0,0
170000.0,2,1,2,32.0,-1,0,0,0,-1,-1,2500.0,2958.1157,2977.5251,2258.1929,380.9078,390.0,1000.0,1000.0,0.0,558.24963,300.42883,369.43115,1
60000.0,2,2,1,37.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2174.4478,0
30000.0,1,2,2,25.0,-1,-1,-2,-2,-2,-1,5199.245,0.0,0.0,0.0,0.0,2162.442,0.0,0.0,0.0,0.0,2099.8193,0.0,0
500000.0,2,2,2,42.0,0,0,0,0,0,0,234243.05,216081.38,173522.12,30216.855,28419.043,27399.557,9502.087,14263.655,2000.0,16719.38,15011.28,10000.0,0
50000.0,2,2,1,26.0,0,0,0,0,0,0,46324.48,53714.363,50745.99,44380.73,20280.346,25607.959,2116.492,1788.4803,1500.0,960.7728,5584.979,2648.7249,1
30000.0,2,3,1,36.0,-1,0,0,-2,-1,-2,1589.7455,3766.6936,0.0,260.3423,0.0,0.0,1069.6914,0.0,392.55283,0.0,0.0,0.0,0
90000.0,1,3,2,23.0,-1,2,-1,-1,0,-1,1118.2139,141.56032,496.8792,1032.8297,168.50597,442.11227,0.0,708.6355,1402.1346,0.0,1000.0,1169.0422,0
190000.0,2,2,1,36.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,956.03955,0.0,0.0,0.0,0.0,1000.0,0.0,0
200000.0,2,1,1,38.0,1,2,2,-1,2,2,3601.9114,3566.9016,912.9028,4688.8657,3185.8193,3283.5593,1001.98517,0.0,2000.0,0.0,1000.2718,0.0,1
230000.0,1,1,1,32.0,0,0,-1,0,0,-1,11688.0205,13465.123,19446.98,20728.846,4792.93,4882.81,2000.0,15980.36,3000.0,535.81116,6074.97,1115.6981,0
20000.0,2,2,1,61.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
110000.0,2,1,2,34.470566,0,0,0,0,0,0,47953.94,44335.914,46362.89,46372.473,46396.96,47096.793,2000.0,3000.0,2300.0615,2000.0,3000.0,1383.5511,0
100000.0,1,1,1,61.808525,0,0,0,0,0,0,90173.6,103599.43,94634.96,60276.184,36793.082,38146.77,4942.85,3998.8455,2895.0347,1200.3414,1060.6183,2000.0,0
50000.0,1,1,2,29.0,1,-2,-2,-1,0,0,0.0,0.0,0.0,0.0,315.96228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30000.0,2,2,1,23.0,-1,2,-1,-1,0,0,1715.2019,4267.7383,1708.014,1058.4686,1251.6295,892.88855,2498.2124,1600.0,1200.0,666.76227,297.49417,1000.0,1
50000.0,1,2,1,33.0,2,2,2,0,0,2,25338.895,28678.398,27633.559,19506.22,19227.67,21060.527,3000.5515,0.0,1300.0,1200.0,1000.0,200.76976,0
300000.0,2,1,2,38.0,-1,-1,-1,-1,-1,-1,1355.597,317.53302,401.3258,388.9541,396.6919,668.42377,205.172,325.6418,179.68974,792.35736,639.6343,1162.7882,0
260000.0,2,2,2,25.0,0,0,0,0,0,0,3494.594,8929.785,8901.087,12938.094,38192.63,30092.17,1257.7153,1298.4076,3531.1877,27400.752,863.8018,1000.0,0
50000.0,2,2,0,23.0,0,0,0,0,0,0,17351.324,19101.473,19559.137,20452.295,18168.139,19456.242,2204.3538,1989.3373,1500.0,823.9393,665.6977,904.21954,0
30000.0,2,3,2,41.0,0,0,0,0,0,0,28900.135,31886.672,26368.537,26418.11,25786.617,25729.477,1300.0,1171.2982,1232.2548,1000.0,774.5033,1000.0,0
300000.0,1,2,2,30.0,1,2,2,0,0,0,184413.6,180810.2,149803.98,154391.23,146974.34,128559.73,0.0,0.0,5040.2944,4098.203,4872.153,3353.6033,1
